Block_Number,Transaction_Hash,Previous_Block_Hash,Batch_ID,Drug_ID,Drug_Name,Supplier_ID,Event_Type,Actor_Role,Actor_ID,Timestamp,Location,Quantity_Units,Unit_Price_INR,Verification_Status,Verified_By_Nodes,Consensus_pct,Smart_Contract_ID,Anomaly_Flag,Block_Size_KB,Price_Deviation_Score,Transaction_Frequency,Geographic_Inconsistency_Score,Quantity_Deviation_Score,Event_Time_Gap_Hours,Low_Consensus_Flag,Unverified_Flag,Anomaly_Label
11,0x69b1d0db5580048d241fd8699d48f32f8ed15875e06a477fa03b001797fa99ca,0xf842bc6f7e98b58275ea0ecf0642394e1e508d0ff307c852ff206819a85e06c0,BAT000003,DRG0003,Amoxicillin-Clavulanate 625mg,SUP013,Dispatch,Logistics_Manager,ACT8237,2025-09-03,Chennai Port,4572,9953.71,Verified,Node_Delhi|Node_Hyderabad|Node_Mumbai|Node_Chennai,80.0,SC-SUP013-DRG0003,No,7.89,0.0,1,3,0.0,24.0,0,0,0
12,0x0a9159b5146750f7bb86cad86ef7e73a62dba5c9dc2ffc842d33bdb0c9b177db,0x69b1d0db5580048d241fd8699d48f32f8ed15875e06a477fa03b001797fa99ca,BAT000003,DRG0003,Amoxicillin-Clavulanate 625mg,SUP013,Received,Distributor,ACT6249,2025-09-07,Jaipur Depot,4572,9953.71,Verified,Node_Bengaluru|Node_Hyderabad|Node_Delhi|Node_Chennai|Node_Mumbai,100.0,SC-SUP013-DRG0003,No,4.63,0.0,2,3,0.0,96.0,0,0,0
13,0x69dcee3b32621ca78ffe051ac97efb49c8427caa75d993c3b087c595fcb105e0,0x0a9159b5146750f7bb86cad86ef7e73a62dba5c9dc2ffc842d33bdb0c9b177db,BAT000004,DRG0004,Azithromycin 250mg,SUP012,Production,Manufacturer,ACT3399,2025-06-08,Pune Distribution,3082,2518.04,Verified,Node_Hyderabad|Node_Delhi|Node_Chennai|Node_Bengaluru|Node_Mumbai,100.0,SC-SUP012-DRG0004,No,8.3,0.0,1,2,0.0,0.0,0,0,0
14,0xb729437dab1788a41aa890998e5debd0f02b5ada31d732de4714c99cc0e3d370,0x69dcee3b32621ca78ffe051ac97efb49c8427caa75d993c3b087c595fcb105e0,BAT000004,DRG0004,Azithromycin 250mg,SUP012,Quality_Check,QC_Inspector,ACT4045,2025-06-09,Lucknow Store,3082,2518.04,Verified,Node_Delhi|Node_Bengaluru|Node_Hyderabad,60.0,SC-SUP012-DRG0004,No,5.32,0.0,1,2,0.0,24.0,1,0,0
15,0xc1961ac5299aa93f794fb3a7da571ae6c4ac7da1a94deb6c6c65e7a47a9a6639,0xb729437dab1788a41aa890998e5debd0f02b5ada31d732de4714c99cc0e3d370,BAT000004,DRG0004,Azithromycin 250mg,SUP012,Dispatch,Logistics_Manager,ACT2573,2025-06-13,Mumbai Warehouse,3082,2518.04,Verified,Node_Mumbai|Node_Chennai|Node_Bengaluru|Node_Hyderabad|Node_Delhi,100.0,SC-SUP012-DRG0004,No,4.34,0.0,1,2,0.0,96.0,0,0,0
16,0xae3c418fe6274620da02558ca46c7d7056d307cffb104dd4d2396436deb74995,0xc1961ac5299aa93f794fb3a7da571ae6c4ac7da1a94deb6c6c65e7a47a9a6639,BAT000004,DRG0004,Azithromycin 250mg,SUP012,Received,Distributor,ACT3527,2025-06-16,Lucknow Store,3082,2518.04,Verified,Node_Bengaluru|Node_Chennai|Node_Delhi|Node_Mumbai,80.0,SC-SUP012-DRG0004,No,4.95,0.0,1,2,0.0,72.0,0,0,0
17,0x0858da2407e7066e17a0c52df40cfce761622bb692a4dec08de54834cc2f48ff,0xae3c418fe6274620da02558ca46c7d7056d307cffb104dd4d2396436deb74995,BAT000005,DRG0005,Azithromycin 500mg,SUP002,Production,Manufacturer,ACT1380,2025-04-02,Pune Distribution,312,4816.97,Verified,Node_Delhi|Node_Hyderabad|Node_Mumbai|Node_Chennai|Node_Bengaluru,100.0,SC-SUP002-DRG0005,No,6.83,0.0,2,2,0.0,0.0,0,0,0
18,0xd301f72cc96967d0805d35ddd7ccaec029cdc674fd47cd92d4867c41693af248,0x0858da2407e7066e17a0c52df40cfce761622bb692a4dec08de54834cc2f48ff,BAT000005,DRG0005,Azithromycin 500mg,SUP002,Quality_Check,QC_Inspector,ACT9041,2025-04-06,Chennai Port,312,4816.97,Verified,Node_Bengaluru|Node_Hyderabad|Node_Delhi,60.0,SC-SUP002-DRG0005,No,7.3,0.0,1,2,0.0,96.0,1,0,0
19,0x54106f984cee9bdcb68d8d277113fd76325de2363320b908c4713ed1bb0f0465,0xd301f72cc96967d0805d35ddd7ccaec029cdc674fd47cd92d4867c41693af248,BAT000005,DRG0005,Azithromycin 500mg,SUP002,Dispatch,Logistics_Manager,ACT4830,2025-04-10,Pune Distribution,312,4816.97,Verified,Node_Hyderabad|Node_Mumbai|Node_Bengaluru|Node_Delhi|Node_Chennai,100.0,SC-SUP002-DRG0005,No,5.38,0.0,2,2,0.0,96.0,0,0,0
20,0x05e5c183016d0fc6c1f001769dce53dab027bdce833e0b7bd263508784feaa8a,0x54106f984cee9bdcb68d8d277113fd76325de2363320b908c4713ed1bb0f0465,BAT000005,DRG0005,Azithromycin 500mg,SUP002,Received,Distributor,ACT2439,2025-04-15,Jaipur Depot,312,4816.97,Verified,Node_Delhi|Node_Hyderabad|Node_Bengaluru|Node_Chennai|Node_Mumbai,100.0,SC-SUP002-DRG0005,No,5.53,0.0,1,2,0.0,120.0,0,0,0
21,0x63d685afcc806d3cd37e113e0b83534e56927eba36ab59fa23781a6283fa821a,0x05e5c183016d0fc6c1f001769dce53dab027bdce833e0b7bd263508784feaa8a,BAT000006,DRG0006,Ciprofloxacin 250mg,SUP019,Production,Manufacturer,ACT7607,2024-09-07,Bengaluru Pharma Hub,4830,4347.15,Verified,Node_Bengaluru|Node_Delhi|Node_Chennai|Node_Mumbai|Node_Hyderabad,100.0,SC-SUP019-DRG0006,No,3.56,0.0,1,3,0.0,0.0,0,0,0
22,0x129e51e07bb66aa6fc03b7b0e1e080463cb46d1d6422be4d876a8d6f2481dadb,0x63d685afcc806d3cd37e113e0b83534e56927eba36ab59fa23781a6283fa821a,BAT000006,DRG0006,Ciprofloxacin 250mg,SUP019,Quality_Check,QC_Inspector,ACT7388,2024-09-10,Pune Distribution,4830,4347.15,Verified,Node_Hyderabad|Node_Delhi|Node_Chennai|Node_Mumbai,80.0,SC-SUP019-DRG0006,No,7.59,0.0,2,3,0.0,72.0,0,0,0
23,0xb286e344ae9df23ea3ba049a82be9259ad641fcedeeeb02914935d01d2950d6a,0x129e51e07bb66aa6fc03b7b0e1e080463cb46d1d6422be4d876a8d6f2481dadb,BAT000006,DRG0006,Ciprofloxacin 250mg,SUP019,Dispatch,Logistics_Manager,ACT3896,2024-09-15,Hyderabad Depot,4830,4347.15,Verified,Node_Delhi|Node_Mumbai|Node_Bengaluru,60.0,SC-SUP019-DRG0006,No,1.44,0.0,1,3,0.0,120.0,1,0,0
24,0x9df63c490d0c39bbe8aeac08b31717d1b983230c87caebf5e821ffc1060b5e5a,0xb286e344ae9df23ea3ba049a82be9259ad641fcedeeeb02914935d01d2950d6a,BAT000006,DRG0006,Ciprofloxacin 250mg,SUP019,Received,Distributor,ACT9944,2024-09-16,Kolkata Cold Chain,4830,4347.15,Verified,Node_Delhi|Node_Bengaluru|Node_Chennai,60.0,SC-SUP019-DRG0006,No,3.32,0.0,1,3,0.0,24.0,1,0,0
25,0x2796cff34dba7bb0a7d5c8bac261e27cb34767c1f92841a601a7605d5572f91c,0x9df63c490d0c39bbe8aeac08b31717d1b983230c87caebf5e821ffc1060b5e5a,BAT000007,DRG0007,Ciprofloxacin 500mg,SUP009,Production,Manufacturer,ACT5525,2025-11-09,Delhi Cold Hub,988,10618.04,Verified,Node_Hyderabad|Node_Mumbai|Node_Bengaluru|Node_Chennai,80.0,SC-SUP009-DRG0007,No,2.56,0.0,1,3,0.0,0.0,0,0,0
26,0x3c60cf359f0c208f6692e7cb0fd60b227fd2ff3d7f2a66c2629378ad13fa8f9a,0x2796cff34dba7bb0a7d5c8bac261e27cb34767c1f92841a601a7605d5572f91c,BAT000007,DRG0007,Ciprofloxacin 500mg,SUP009,Quality_Check,QC_Inspector,ACT7636,2025-11-10,Mumbai Warehouse,988,10618.04,Verified,Node_Bengaluru|Node_Chennai|Node_Hyderabad|Node_Delhi|Node_Mumbai,100.0,SC-SUP009-DRG0007,No,7.79,0.0,1,3,0.0,24.0,0,0,0
27,0x3dd26c32469c621e595b427d8de85c5e46f6e9560b1078e10bbd90fd4cea28a7,0x3c60cf359f0c208f6692e7cb0fd60b227fd2ff3d7f2a66c2629378ad13fa8f9a,BAT000007,DRG0007,Ciprofloxacin 500mg,SUP009,Dispatch,Logistics_Manager,ACT6142,2025-11-11,Kolkata Cold Chain,988,10618.04,Verified,Node_Chennai|Node_Delhi|Node_Mumbai|Node_Bengaluru|Node_Hyderabad,100.0,SC-SUP009-DRG0007,No,5.17,0.0,2,3,0.0,24.0,0,0,0
28,0x7cbade880ae82a213151f1557cfe9b7ce3717086f8e5655da813151fd2f9e332,0x3dd26c32469c621e595b427d8de85c5e46f6e9560b1078e10bbd90fd4cea28a7,BAT000007,DRG0007,Ciprofloxacin 500mg,SUP009,Received,Distributor,ACT6141,2025-11-12,Jaipur Depot,988,10618.04,Verified,Node_Mumbai|Node_Chennai|Node_Hyderabad|Node_Delhi,80.0,SC-SUP009-DRG0007,No,4.72,0.0,1,3,0.0,24.0,0,0,0
29,0x75b2b23a922c8e2f69611dd4c7cd3a8ec2acaa9662e3c7bb26caa6b2acc5606b,0x7cbade880ae82a213151f1557cfe9b7ce3717086f8e5655da813151fd2f9e332,BAT000008,DRG0008,Ciprofloxacin 750mg,SUP010,Production,Manufacturer,ACT8629,2024-06-21,Delhi Cold Hub,1679,4490.1,Verified,Node_Chennai|Node_Mumbai|Node_Delhi,60.0,SC-SUP010-DRG0008,No,4.01,0.0,2,2,0.0,0.0,1,0,0
30,0xd54a3b300f8b76c50a739a5bdff0be859ad009f458f672a48a42b43e320dfb1f,0x75b2b23a922c8e2f69611dd4c7cd3a8ec2acaa9662e3c7bb26caa6b2acc5606b,BAT000008,DRG0008,Ciprofloxacin 750mg,SUP010,Quality_Check,QC_Inspector,ACT2899,2024-06-22,Lucknow Store,1679,4490.1,Verified,Node_Hyderabad|Node_Bengaluru|Node_Mumbai,60.0,SC-SUP010-DRG0008,No,3.65,0.0,3,2,0.0,24.0,1,0,0
31,0xf20da0ec389cfbd0afd4f78f26eaf3e0e01c41132368e4a78a05171194e392bb,0xd54a3b300f8b76c50a739a5bdff0be859ad009f458f672a48a42b43e320dfb1f,BAT000008,DRG0008,Ciprofloxacin 750mg,SUP010,Dispatch,Logistics_Manager,ACT4647,2024-06-25,Mumbai Warehouse,1679,4490.1,Verified,Node_Hyderabad|Node_Chennai|Node_Mumbai|Node_Delhi|Node_Bengaluru,100.0,SC-SUP010-DRG0008,No,1.26,0.0,1,2,0.0,72.0,0,0,0
32,0x6ab301ade54ae59d73d7b4fd679e68f82272cb471f260323cdc5fb2be7d31c41,0xf20da0ec389cfbd0afd4f78f26eaf3e0e01c41132368e4a78a05171194e392bb,BAT000008,DRG0008,Ciprofloxacin 750mg,SUP010,Received,Distributor,ACT4342,2024-06-27,Lucknow Store,1679,4490.1,Verified,Node_Delhi|Node_Bengaluru|Node_Mumbai|Node_Chennai|Node_Hyderabad,100.0,SC-SUP010-DRG0008,No,1.81,0.0,2,2,0.0,48.0,0,0,0
33,0x32326d733134fd24037499c8c1b75d057c70ddda8974d43dc883d8163fbf6025,0x6ab301ade54ae59d73d7b4fd679e68f82272cb471f260323cdc5fb2be7d31c41,BAT000009,DRG0009,Doxycycline 100mg,SUP019,Production,Manufacturer,ACT3208,2025-09-02,Hyderabad Depot,751,9793.2,Verified,Node_Chennai|Node_Bengaluru|Node_Mumbai,60.0,SC-SUP019-DRG0009,No,8.09,0.0,2,3,0.0,0.0,1,0,0
34,0x5fef22b008fa8cadb15b8259a7b66e8ee2286d8788340583820ee7c587c793c4,0x32326d733134fd24037499c8c1b75d057c70ddda8974d43dc883d8163fbf6025,BAT000009,DRG0009,Doxycycline 100mg,SUP019,Quality_Check,QC_Inspector,ACT8719,2025-09-06,Mumbai Warehouse,751,9793.2,Verified,Node_Bengaluru|Node_Chennai|Node_Delhi|Node_Mumbai,80.0,SC-SUP019-DRG0009,No,3.06,0.0,1,3,0.0,96.0,0,0,0
35,0x8e701df7c71b4789557b20ef9fa88f26206d2312436d639beef7ccf24e39d725,0x5fef22b008fa8cadb15b8259a7b66e8ee2286d8788340583820ee7c587c793c4,BAT000009,DRG0009,Doxycycline 100mg,SUP019,Dispatch,Logistics_Manager,ACT3970,2025-09-09,Lucknow Store,751,9793.2,Verified,Node_Delhi|Node_Mumbai|Node_Bengaluru|Node_Hyderabad,80.0,SC-SUP019-DRG0009,No,8.46,0.0,1,3,0.0,72.0,0,0,0
36,0x046c88ee1ac32f2dbb59eeb6a0940af3b1b756a4b339ea57175d370f1841ccce,0x8e701df7c71b4789557b20ef9fa88f26206d2312436d639beef7ccf24e39d725,BAT000009,DRG0009,Doxycycline 100mg,SUP019,Received,Distributor,ACT9034,2025-09-10,Jaipur Depot,751,9793.2,Verified,Node_Mumbai|Node_Delhi|Node_Chennai|Node_Bengaluru|Node_Hyderabad,100.0,SC-SUP019-DRG0009,No,5.9,0.0,1,3,0.0,24.0,0,0,0
37,0xdd32d6ac4b943483c5cc24e490d7d4c936aad13e5112fdddbc29926a7bddeb3b,0x046c88ee1ac32f2dbb59eeb6a0940af3b1b756a4b339ea57175d370f1841ccce,BAT000010,DRG0010,Levofloxacin 250mg,SUP010,Production,Manufacturer,ACT4631,2024-10-09,Jaipur Depot,3109,10795.87,Verified,Node_Mumbai|Node_Delhi|Node_Hyderabad,60.0,SC-SUP010-DRG0010,No,7.59,0.0,2,1,0.0,0.0,1,0,0
38,0xdc5b3e13a3ee2e244c2820d93356114d30b14c2119ce84558ea55d82a006e866,0xdd32d6ac4b943483c5cc24e490d7d4c936aad13e5112fdddbc29926a7bddeb3b,BAT000010,DRG0010,Levofloxacin 250mg,SUP010,Quality_Check,QC_Inspector,ACT1975,2024-10-14,Kolkata Cold Chain,3109,10795.87,Verified,Node_Delhi|Node_Chennai|Node_Mumbai|Node_Hyderabad,80.0,SC-SUP010-DRG0010,No,3.69,0.0,2,1,0.0,120.0,0,0,0
39,0x0dbd1a654bdc31e8820e0171722563a1bab8ee802951b30e97557c93e711bb69,0xdc5b3e13a3ee2e244c2820d93356114d30b14c2119ce84558ea55d82a006e866,BAT000010,DRG0010,Levofloxacin 250mg,SUP010,Dispatch,Logistics_Manager,ACT2727,2024-10-15,Jaipur Depot,3109,10795.87,Verified,Node_Chennai|Node_Hyderabad|Node_Bengaluru,60.0,SC-SUP010-DRG0010,No,6.77,0.0,2,1,0.0,24.0,1,0,0
40,0xd1d037c94c9ac16efb7099f8139e3c765650b5fd711647cfb3094a4f86ead2ef,0x0dbd1a654bdc31e8820e0171722563a1bab8ee802951b30e97557c93e711bb69,BAT000010,DRG0010,Levofloxacin 250mg,SUP010,Received,Distributor,ACT6632,2024-10-16,Kolkata Cold Chain,3109,10795.87,Verified,Node_Mumbai|Node_Chennai|Node_Hyderabad,60.0,SC-SUP010-DRG0010,No,7.35,0.0,1,1,0.0,24.0,1,0,0
41,0x625a1469a180948a2cf8279cc6650bb3c8f69c1fb44a3b9a7860d13fbd3702b4,0xd1d037c94c9ac16efb7099f8139e3c765650b5fd711647cfb3094a4f86ead2ef,BAT000011,DRG0011,Levofloxacin 500mg,SUP017,Production,Manufacturer,ACT1218,2025-03-22,Delhi Cold Hub,2331,5827.55,Verified,Node_Bengaluru|Node_Hyderabad|Node_Mumbai|Node_Chennai,80.0,SC-SUP017-DRG0011,No,4.85,0.0,2,3,0.0,0.0,0,0,0
42,0x49c61c48101fef16ff882095e0270322ebfbf352e7277d5b465e96fb1bafb592,0x625a1469a180948a2cf8279cc6650bb3c8f69c1fb44a3b9a7860d13fbd3702b4,BAT000011,DRG0011,Levofloxacin 500mg,SUP017,Quality_Check,QC_Inspector,ACT4868,2025-03-23,Kolkata Cold Chain,2331,5827.55,Verified,Node_Hyderabad|Node_Bengaluru|Node_Delhi|Node_Chennai,80.0,SC-SUP017-DRG0011,No,3.77,0.0,1,3,0.0,24.0,0,0,0
43,0xeef9c5bac3564a7aee1e66dbcc3de7bb512892dfbf926eca4723163724d1de1b,0x49c61c48101fef16ff882095e0270322ebfbf352e7277d5b465e96fb1bafb592,BAT000011,DRG0011,Levofloxacin 500mg,SUP017,Dispatch,Logistics_Manager,ACT6446,2025-03-25,Jaipur Depot,2331,5827.55,Verified,Node_Mumbai|Node_Hyderabad|Node_Chennai|Node_Delhi|Node_Bengaluru,100.0,SC-SUP017-DRG0011,No,4.36,0.0,3,3,0.0,48.0,0,0,0
44,0xcbe45f6505d20cd60a60a42c32b36064690f5fbd98c0f98d7be0262b66f7b643,0xeef9c5bac3564a7aee1e66dbcc3de7bb512892dfbf926eca4723163724d1de1b,BAT000011,DRG0011,Levofloxacin 500mg,SUP017,Received,Distributor,ACT6707,2025-03-26,Lucknow Store,2331,5827.55,Verified,Node_Mumbai|Node_Hyderabad|Node_Delhi|Node_Chennai|Node_Bengaluru,100.0,SC-SUP017-DRG0011,No,2.24,0.0,1,3,0.0,24.0,0,0,0
45,0x1aac94a52562690d25403d0c55201366aa30d48ffb6e6c3bf8482ab760ada914,0xcbe45f6505d20cd60a60a42c32b36064690f5fbd98c0f98d7be0262b66f7b643,BAT000012,DRG0012,Meropenem 500mg Injection,SUP002,Production,Manufacturer,ACT8259,2025-08-10,Lucknow Store,546,8739.92,Verified,Node_Delhi|Node_Bengaluru|Node_Mumbai|Node_Chennai,80.0,SC-SUP002-DRG0012,No,6.7,0.0,1,2,0.0,0.0,0,0,0
46,0xe16b5d009f7b8f4befd2c9967695af18f4525cc660b66f23ce3bf16a5b58e817,0x1aac94a52562690d25403d0c55201366aa30d48ffb6e6c3bf8482ab760ada914,BAT000012,DRG0012,Meropenem 500mg Injection,SUP002,Quality_Check,QC_Inspector,ACT4198,2025-08-11,Kolkata Cold Chain,546,8739.92,Verified,Node_Mumbai|Node_Hyderabad|Node_Delhi,60.0,SC-SUP002-DRG0012,No,5.03,0.0,1,2,0.0,24.0,1,0,0
47,0xfcfd82aa546b27b6fe08e74e675b2caa236b61cb64d6b3c1d4c08bc43b01cb83,0xe16b5d009f7b8f4befd2c9967695af18f4525cc660b66f23ce3bf16a5b58e817,BAT000012,DRG0012,Meropenem 500mg Injection,SUP002,Dispatch,Logistics_Manager,ACT7149,2025-08-12,Kolkata Cold Chain,546,8739.92,Verified,Node_Bengaluru|Node_Mumbai|Node_Hyderabad|Node_Delhi|Node_Chennai,100.0,SC-SUP002-DRG0012,No,4.46,0.0,2,2,0.0,24.0,0,0,0
48,0x71728db80c2c2938f7782626ca9d146695fe8cfb7eadc908535d4564442cff54,0xfcfd82aa546b27b6fe08e74e675b2caa236b61cb64d6b3c1d4c08bc43b01cb83,BAT000012,DRG0012,Meropenem 500mg Injection,SUP002,Received,Distributor,ACT3246,2025-08-16,Chennai Port,546,8739.92,Verified,Node_Chennai|Node_Hyderabad|Node_Delhi|Node_Mumbai|Node_Bengaluru,100.0,SC-SUP002-DRG0012,No,5.01,0.0,1,2,0.0,96.0,0,0,0
49,0xd1476db80bd20a8624a5a9078528c8382ffaecdf71ab444af6be230d434e40d5,0x71728db80c2c2938f7782626ca9d146695fe8cfb7eadc908535d4564442cff54,BAT000013,DRG0013,Meropenem 1g Injection,SUP018,Production,Manufacturer,ACT9153,2025-11-04,Ahmedabad Hub,814,1999.9,Verified,Node_Hyderabad|Node_Bengaluru|Node_Mumbai|Node_Chennai|Node_Delhi,100.0,SC-SUP018-DRG0013,No,7.2,0.0,2,3,0.0,0.0,0,0,0
50,0x0e407403fff4b0d221bb5bd8e3eee3ca3dd70cee15a3adfaa3de96f9699fabfe,0xd1476db80bd20a8624a5a9078528c8382ffaecdf71ab444af6be230d434e40d5,BAT000013,DRG0013,Meropenem 1g Injection,SUP018,Quality_Check,QC_Inspector,ACT3416,2025-11-05,Kolkata Cold Chain,814,1999.9,Verified,Node_Delhi|Node_Bengaluru|Node_Mumbai|Node_Hyderabad,80.0,SC-SUP018-DRG0013,No,3.69,0.0,1,3,0.0,24.0,0,0,0
51,0x9bf7bb6cd2fe1505cb38b7f0c1b108b0fd5fd5908232d5ffc32654b8ced42a61,0x0e407403fff4b0d221bb5bd8e3eee3ca3dd70cee15a3adfaa3de96f9699fabfe,BAT000013,DRG0013,Meropenem 1g Injection,SUP018,Dispatch,Logistics_Manager,ACT9560,2025-11-08,Mumbai Warehouse,814,1999.9,Verified,Node_Bengaluru|Node_Hyderabad|Node_Mumbai|Node_Delhi|Node_Chennai,100.0,SC-SUP018-DRG0013,No,8.18,0.0,2,3,0.0,72.0,0,0,0
52,0xdf4a58387a9e8e949b45c49838ac9255312e1237f068fcd08b58f7bd6225605a,0x9bf7bb6cd2fe1505cb38b7f0c1b108b0fd5fd5908232d5ffc32654b8ced42a61,BAT000013,DRG0013,Meropenem 1g Injection,SUP018,Received,Distributor,ACT6897,2025-11-12,Pune Distribution,814,1999.9,Verified,Node_Delhi|Node_Bengaluru|Node_Mumbai|Node_Hyderabad|Node_Chennai,100.0,SC-SUP018-DRG0013,No,4.96,0.0,1,3,0.0,96.0,0,0,0
53,0xa20d3ebae8668b9d442102f301ab3bce4ab4f64aefe6e3efbd265feb5b6c143c,0xdf4a58387a9e8e949b45c49838ac9255312e1237f068fcd08b58f7bd6225605a,BAT000014,DRG0014,Vancomycin 500mg Injection,SUP018,Production,Manufacturer,ACT3078,2024-07-09,Chennai Port,1318,3564.01,Verified,Node_Mumbai|Node_Chennai|Node_Bengaluru|Node_Hyderabad|Node_Delhi,100.0,SC-SUP018-DRG0014,No,5.42,0.0,1,3,0.0,0.0,0,0,0
